Entry	Entry Name	Protein names	Gene Ontology (GO)	Function [CC]	EC number	Annotation	Protein families	Pfam
C6LB72	C6LB72_9FIRM	ABC transporter, substrate-binding protein, family 5	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0	Bacterial solute-binding protein 5 family	PF00496;
S5DM28	S5DM28_9ACTN	Pentose-5-phosphate-3-epimerase	racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]; carbohydrate metabolic process [GO:0005975]			1.0		PF00834;
C6E167	C6E167_GEOSM	Tfp pilus assembly protein tip-associated adhesin PilY1-like protein				1.0		PF13205;
M2YDL9	M2YDL9_9MICC	Exo-alpha-sialidase				1.0		
A0A1V4VBN5	A0A1V4VBN5_9EURY	Putative aspartate aminotransferase 2 (EC 2.6.1.1)	L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]; amino acid metabolic process [GO:0006520]; biosynthetic process [GO:0009058]		2.6.1.1	1.0	Class-I pyridoxal-phosphate-dependent aminotransferase family	PF00155;
G7WNW7	G7WNW7_METH6	ABC transporter tungsten-binding protein				1.0		PF12849;
K1Y8P4	K1Y8P4_9BACT	Pyruvate/ketoisovalerate oxidoreductase catalytic domain-containing protein	oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]			1.0		PF01558;
Q19TU1	Q19TU1_DESDE	Adenylylsulfate reductase alpha subunit	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase activity [GO:0000104]; anaerobic respiration [GO:0009061]			1.0		PF00890;
I9XI41	I9XI41_RHILT	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]	FUNCTION: Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses L-glutamine as a nitrogen source. {ECO:0000256|HAMAP-Rule:MF_02090}.	6.3.5.1	3.0	NAD synthetase family; NAD synthetase family	PF00795;PF02540;
E8N4S2	E8N4S2_ANATU	Chaperone protein ClpB	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cellular response to heat [GO:0034605]; protein refolding [GO:0042026]	FUNCTION: Part of a stress-induced multi-chaperone system, it is involved in the recovery of the cell from heat-induced damage, in cooperation with DnaK, DnaJ and GrpE. {ECO:0000256|RuleBase:RU362034}.		2.0	ClpA/ClpB family	PF00004;PF07724;PF17871;PF02861;PF10431;
X1NGQ5	X1NGQ5_9ZZZZ	LamG-like jellyroll fold domain-containing protein				1.0		PF13385;
M5WYY7	M5WYY7_PRUPE	Auxin response factor	nucleus [GO:0005634]; DNA binding [GO:0003677]; auxin-activated signaling pathway [GO:0009734]; regulation of DNA-templated transcription [GO:0006355]	FUNCTION: Auxin response factors (ARFs) are transcriptional factors that bind specifically to the DNA sequence 5'-TGTCTC-3' found in the auxin-responsive promoter elements (AuxREs). {ECO:0000256|RuleBase:RU004561}.		2.0	ARF family	PF02309;PF06507;PF02362;
A0LF38	A0LF38_SYNFM	Flavodoxin/nitric oxide synthase	FMN binding [GO:0010181]			1.0		PF12724;
B8GJQ7	MTD_METPE	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	FUNCTION: Catalyzes the reversible reduction of methenyl-H(4)MPT(+) to methylene-H(4)MPT. {ECO:0000255|HAMAP-Rule:MF_00058}.	1.5.98.1	2.0	MTD family	PF01993;
Q3A458	Q3A458_SYNC1	Cytoplasmic NADPH oxidoreductase-associated [FeFe]-hydrogenase	4 iron, 4 sulfur cluster binding [GO:0051539]; ferredoxin hydrogenase activity [GO:0008901]; iron ion binding [GO:0005506]			1.0		PF02906;PF02256;PF13510;PF12838;PF10588;
A0A7K4AJ98	A0A7K4AJ98_METSH	V-type ATP synthase subunit I	proton-transporting V-type ATPase, V0 domain [GO:0033179]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; ATPase binding [GO:0051117]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; vacuolar acidification [GO:0007035]			2.0	V-ATPase 116 kDa subunit family	PF01496;
R9HHB2	R9HHB2_BACT4	Surface protein				1.0		
Q2RG10	Q2RG10_MOOTA	Copper amine oxidase-like protein				1.0		PF07833;
L0HAF8	L0HAF8_METFS	Formate dehydrogenase, alpha subunit, archaeal-type	membrane [GO:0016020]; 4 iron, 4 sulfur cluster binding [GO:0051539]; formate dehydrogenase (NAD+) activity [GO:0008863]; metal ion binding [GO:0046872]; molybdopterin cofactor binding [GO:0043546]; NADH dehydrogenase activity [GO:0003954]; formate metabolic process [GO:0015942]; respiratory electron transport chain [GO:0022904]			2.0	Prokaryotic molybdopterin-containing oxidoreductase family	PF04879;PF00384;PF01568;
A0A139JWV5	A0A139JWV5_BACT4	Surface protein				1.0		
F4BU06	F4BU06_METSG	Cna protein B-type domain protein	extracellular region [GO:0005576]			1.0		PF17210;
Q2LW75	Q2LW75_SYNAS	Sulfite reductase, assimilatory-type (EC 1.8.-.-)	4 iron, 4 sulfur cluster binding [GO:0051539]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]		1.8.-.-	1.0		PF01077;PF03460;
A0A843JZ08	A0A843JZ08_9EURY	F420-dependent methylenetetrahydromethanopterin dehydrogenase (MTD) (EC 1.5.98.1) (Coenzyme F420-dependent N5,N10-methylenetetrahydromethanopterin dehydrogenase)	ferredoxin hydrogenase activity [GO:0008901]; methylenetetrahydromethanopterin dehydrogenase activity [GO:0030268]; methanogenesis, from carbon dioxide [GO:0019386]; one-carbon metabolic process [GO:0006730]	FUNCTION: Catalyzes the reversible reduction of methenyl-H(4)MPT(+) to methylene-H(4)MPT. {ECO:0000256|HAMAP-Rule:MF_00058}.	1.5.98.1	2.0	MTD family	PF01993;
L0DDH1	L0DDH1_SINAD	Type VI secretion protein, EvpB/VC_A0108 family				1.0		PF05943;PF18945;
A0A1V4V6B5	A0A1V4V6B5_9EURY	Replication factor A	DNA binding [GO:0003677]; double-strand break repair via homologous recombination [GO:0000724]; response to ionizing radiation [GO:0010212]			1.0		
A0A7K4AES7	A0A7K4AES7_METSH	Lipoprotein				1.0		PF20316;
F4BZK4	F4BZK4_METSG	Uncharacterized protein				1.0		
A0A1V4VE44	A0A1V4VE44_9EURY	Cobalamin-binding protein	polysaccharide catabolic process [GO:0000272]			1.0		PF01497;
D1JBL9	D1JBL9_UNCAX	Putative iron(III) ABC transporter, solute-binding protein	polysaccharide catabolic process [GO:0000272]			1.0		PF01497;
I4BUX4	I4BUX4_ACEMN	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	FUNCTION: Together with its co-chaperonin GroES, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding. {ECO:0000256|HAMAP-Rule:MF_00600, ECO:0000256|RuleBase:RU000419}.	5.6.1.7	3.0	Chaperonin (HSP60) family	PF00118;
Q51927	Q51927_PASMD	MbeAy (MobA) (Mobilization protein A)				1.0		PF03432;
C5CI23	C5CI23_KOSOT	Peptidase C1A papain	calcium ion binding [GO:0005509]; cysteine-type peptidase activity [GO:0008234]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; polysaccharide catabolic process [GO:0000272]; proteolysis [GO:0006508]			1.0	Peptidase C1 family	PF00404;PF00112;
E8MZM0	E8MZM0_ANATU	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	cell surface [GO:0009986]; extracellular region [GO:0005576]; phosphopyruvate hydratase complex [GO:0000015]; magnesium ion binding [GO:0000287]; phosphopyruvate hydratase activity [GO:0004634]; glycolytic process [GO:0006096]	FUNCTION: Catalyzes the reversible conversion of 2-phosphoglycerate (2-PG) into phosphoenolpyruvate (PEP). It is essential for the degradation of carbohydrates via glycolysis. {ECO:0000256|HAMAP-Rule:MF_00318}.	4.2.1.11	3.0	Enolase family	PF00113;PF03952;
S3WQV2	S3WQV2_9ACTN	Succinate dehydrogenase iron-sulfur subunit	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; respiratory electron transport chain [GO:0022904]			1.0	Succinate dehydrogenase/fumarate reductase iron-sulfur protein family	PF13085;PF12838;
F4BYK3	F4BYK3_METSG	Aminotransferase (EC 2.6.1.-)	L,L-diaminopimelate aminotransferase activity [GO:0010285]; pyridoxal phosphate binding [GO:0030170]; lysine biosynthetic process via diaminopimelate [GO:0009089]		2.6.1.-	1.0	Class-I pyridoxal-phosphate-dependent aminotransferase family	PF00155;
U1R3B8	U1R3B8_9PAST	Divergent polysaccharide deacetylase	carbohydrate metabolic process [GO:0005975]			1.0		PF04748;
B9NM78	B9NM78_9RHOB	Transposase IS66				1.0		PF03050;PF13817;PF13007;PF13005;
Q020T4	Q020T4_SOLUE	TonB-dependent receptor, plug	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0		PF13620;
W0FJJ4	W0FJJ4_9BACT	Extracellular solute-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0		PF00496;
J1L3I8	J1L3I8_9EURY	von Willebrand factor type A				1.0	Intimin/invasin family	PF02369;PF13519;
E1QMR0	E1QMR0_SALET	Aerobactin siderophore biosynthesis protein IucA	membrane [GO:0016020]; acid-amino acid ligase activity [GO:0016881]; siderophore biosynthetic process [GO:0019290]			1.0	IucA/IucC family	PF06276;PF04183;
A0LIY8	SUCC_SYNFM	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	cytosol [GO:0005829]; succinate-CoA ligase complex [GO:0042709]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]	FUNCTION: Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA. The beta subunit provides nucleotide specificity of the enzyme and binds the substrate succinate, while the binding sites for coenzyme A and phosphate are found in the alpha subunit. {ECO:0000255|HAMAP-Rule:MF_00558}.	6.2.1.5	3.0	Succinate/malate CoA ligase beta subunit family	PF08442;PF00549;
A0A1V4V3N0	A0A1V4V3N0_9EURY	Large ribosomal subunit protein P1	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translational elongation [GO:0006414]	FUNCTION: Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors. {ECO:0000256|HAMAP-Rule:MF_01478}.		2.0	Eukaryotic ribosomal protein P1/P2 family	PF00428;
A0A7K4AIP3	A0A7K4AIP3_METSH	Imidazoleglycerol-phosphate dehydratase	imidazoleglycerol-phosphate dehydratase activity [GO:0004424]; L-histidine biosynthetic process [GO:0000105]			1.0		PF00475;
Q9AVP6	Q9AVP6_VICFA	Plasma membrane ATPase (EC 7.1.2.1)	plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; P-type proton-exporting transporter activity [GO:0008553]; proton export across plasma membrane [GO:0120029]		7.1.2.1	2.0	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIIA subfamily	PF00690;PF00122;PF00702;
A0A1V4V7K4	A0A1V4V7K4_9EURY	Helix-turn-helix domain protein	DNA binding [GO:0003677]			1.0		PF01381;
Q8TN07	Q8TN07_METAC	Peptide ABC transporter, solute-binding protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0	Bacterial solute-binding protein 5 family	PF00496;
F4BWT4	F4BWT4_METSG	Uncharacterized protein				1.0		PF21571;PF21570;PF04455;
W2UQK8	W2UQK8_9FLAO	Gliding motility-associated C-terminal domain-containing protein				1.0		PF13585;PF23237;
H2J467	H2J467_MARPK	ABC-type dipeptide transport system, periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			1.0	Bacterial solute-binding protein 5 family	PF00496;
H8ZXG3	H8ZXG3_9EUGL	Elongation factor Tu, chloroplastic (EF-Tu)	chloroplast [GO:0009507]; mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; mitochondrial translational elongation [GO:0070125]	FUNCTION: This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. {ECO:0000256|ARBA:ARBA00003982, ECO:0000256|HAMAP-Rule:MF_00118, ECO:0000256|RuleBase:RU000325}.		2.0	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family, EF-Tu/EF-1A subfamily	PF00009;PF03144;PF03143;
L0F326	L0F326_DESDL	Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit, BcrC/BadD/HgdB	hydro-lyase activity [GO:0016836]			1.0	FldB/FldC dehydratase alpha/beta subunit family	PF06050;
A0LIJ6	RS3_SYNFM	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)	cytosolic small ribosomal subunit [GO:0022627]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	FUNCTION: Binds the lower part of the 30S subunit head. Binds mRNA in the 70S ribosome, positioning it for translation. {ECO:0000255|HAMAP-Rule:MF_01309}.		2.0	Universal ribosomal protein uS3 family	PF07650;PF00189;
F4BTQ0	F4BTQ0_METSG	Cupin domain protein				1.0		PF07883;
F4BZ10	F4BZ10_METSG	Aldolase	aldehyde-lyase activity [GO:0016832]; zinc ion binding [GO:0008270]; carbohydrate metabolic process [GO:0005975]			1.0		PF01116;
S2D9A2	S2D9A2_INDAL	TonB-dependent receptor	cell outer membrane [GO:0009279]			1.0		PF13620;
Q39Q56	ATPB_GEOMG	ATP synthase subunit beta (EC 7.1.2.2) (ATP synthase F1 sector subunit beta) (F-ATPase subunit beta)	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits. {ECO:0000255|HAMAP-Rule:MF_01347}.	7.1.2.2	3.0	ATPase alpha/beta chains family	PF00006;PF02874;PF22919;
A0A037YH90	A0A037YH90_ECOLX	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	cytosol [GO:0005829]; 4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	FUNCTION: Catalyzes the conversion of 4-hydroxy-tetrahydrodipicolinate (HTPA) to tetrahydrodipicolinate. {ECO:0000256|HAMAP-Rule:MF_00102}.	1.17.1.8	3.0	DapB family	PF05173;PF01113;
K2QWB3	K2QWB3_METFP	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	RNA polymerase II CTD heptapeptide repeat P3 isomerase activity [GO:0140839]; RNA polymerase II CTD heptapeptide repeat P6 isomerase activity [GO:0140840]; gene expression [GO:0010467]		5.2.1.8	2.0	FKBP-type PPIase family	PF18046;PF22199;PF00254;
B4S6Z2	B4S6Z2_PROA2	Outer membrane adhesin like protein				1.0		PF19077;PF17963;PF17803;
Q1JZL4	Q1JZL4_DESA6	Aldehyde ferredoxin oxidoreductase (EC 1.2.7.5)	4 iron, 4 sulfur cluster binding [GO:0051539]; aldehyde ferredoxin oxidoreductase activity [GO:0033726]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]		1.2.7.5	1.0	AOR/FOR family	PF01314;PF02730;
W8ZLB9	W8ZLB9_9BACL	F5/8 type C domain-containing protein				1.0		PF00754;
M1RXY2	M1RXY2_LYSSH	Surface layer protein				1.0		PF00395;
R5AUK8	R5AUK8_9CLOT	Fructose-1 6-bisphosphate aldolase class II	fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; glycolytic process [GO:0006096]			1.0		PF01116;
B8FN40	B8FN40_DESAL	Conserved repeat domain protein				1.0		PF01345;
A0A7K4AFH4	A0A7K4AFH4_METSH	Acetyl-CoA decarbonylase/synthase complex subunit delta (ACDS complex subunit delta) (Corrinoid/iron-sulfur component small subunit)	methanogenesis [GO:0015948]; one-carbon metabolic process [GO:0006730]	FUNCTION: Part of a complex that catalyzes the reversible cleavage of acetyl-CoA, allowing autotrophic growth from CO(2). Probably maintains the overall quaternary structure of the ACDS complex. {ECO:0000256|HAMAP-Rule:MF_01135}.		2.0	CdhD family	PF03599;
A0LJT0	A0LJT0_SYNFM	succinate dehydrogenase (EC 1.3.5.1)	plasma membrane [GO:0005886]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]; succinate dehydrogenase (quinone) activity [GO:0008177]; anaerobic respiration [GO:0009061]; electron transport chain [GO:0022900]		1.3.5.1	2.0	FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily	PF00890;PF02910;
A1AME6	A1AME6_PELPD	Iron-containing alcohol dehydrogenase	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]			1.0	Iron-containing alcohol dehydrogenase family	PF00465;
V6DLT5	V6DLT5_9LACO	Chromosome replication initiation / membrane attachment protein				1.0		PF07261;
U5C0K9	U5C0K9_9BACT	TonB-dependent receptor plug domain-containing protein	cell outer membrane [GO:0009279]			1.0	TonB-dependent receptor family	PF13715;PF07715;
D5EDQ0	D5EDQ0_AMICL	PPC domain-containing protein				1.0		PF03479;
R6BR61	R6BR61_9CLOT	Solute-binding protein family 5 domain-containing protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; cell envelope [GO:0030313]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]			2.0	Bacterial solute-binding protein 5 family	PF00496;
A0A7K4AFA0	A0A7K4AFA0_METSH	Acetyl-CoA decarbonylase/synthase complex subunit beta (ACDS complex subunit beta) (EC 2.3.1.169) (ACDS complex acyltransferase)	acetyltransferase activity [GO:0016407]; anaerobic carbon-monoxide dehydrogenase activity [GO:0043885]; CO-methylating acetyl-CoA synthase activity [GO:0043884]; iron ion binding [GO:0005506]; iron-sulfur cluster binding [GO:0051536]; nickel cation binding [GO:0016151]; acetyl-CoA metabolic process [GO:0006084]; methanogenesis, from acetate [GO:0019385]	FUNCTION: Part of a complex that catalyzes the reversible cleavage of acetyl-CoA, allowing autotrophic growth from CO(2). The alpha-epsilon complex generates CO from CO(2), while the beta subunit (this protein) combines the CO with CoA and a methyl group to form acetyl-CoA. The methyl group, which is incorporated into acetyl-CoA, is transferred to the beta subunit by a corrinoid iron-sulfur protein (the gamma-delta complex). {ECO:0000256|HAMAP-Rule:MF_01138}.	2.3.1.169	3.0	CdhC family	PF19436;PF03598;
A0A1V4V4D5	A0A1V4V4D5_9EURY	Phosphate ABC transporter periplasmic substrate-binding protein PstS	phosphate ion binding [GO:0042301]			1.0		PF12849;
M7MRY9	M7MRY9_9MICC	Maltose ABC transporter substrate-binding protein	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; carbohydrate transmembrane transporter activity [GO:0015144]; maltose binding [GO:1901982]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]			1.0	Bacterial solute-binding protein 1 family	PF13416;
C8X3U5	C8X3U5_DESRD	Aldehyde oxidase and xanthine dehydrogenase molybdopterin binding protein	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]			1.0	Xanthine dehydrogenase family	PF01315;PF00111;PF01799;PF02738;PF20256;
A0A1V4UYP6	A0A1V4UYP6_9EURY	5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'-monophosphate synthetase (EC 6.3.4.23) (5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranosyl 5'-monophosphate--formate ligase)	ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; magnesium ion binding [GO:0000287]; 'de novo' IMP biosynthetic process [GO:0006189]	FUNCTION: Catalyzes the ATP- and formate-dependent formylation of 5-aminoimidazole-4-carboxamide-1-beta-d-ribofuranosyl 5'-monophosphate (AICAR) to 5-formaminoimidazole-4-carboxamide-1-beta-d-ribofuranosyl 5'-monophosphate (FAICAR) in the absence of folates. {ECO:0000256|HAMAP-Rule:MF_01163}.	6.3.4.23	2.0	Phosphohexose mutase family	PF06849;PF06973;
A0A2G8DI62	A0A2G8DI62_9BACT	Sugar ABC transporter substrate-binding protein	cell envelope [GO:0030313]			1.0	Bacterial solute-binding protein 1 family	PF13416;
A0A1V4V8F6	A0A1V4V8F6_9EURY	Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)	cytosol [GO:0005829]; ribose-5-phosphate isomerase activity [GO:0004751]; D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]	FUNCTION: Catalyzes the reversible conversion of ribose-5-phosphate to ribulose 5-phosphate. {ECO:0000256|HAMAP-Rule:MF_00170}.	5.3.1.6	3.0	Ribose 5-phosphate isomerase family	PF06026;
C0Q8W2	C0Q8W2_DESAH	TonB-like outer membrane receptor protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0	TonB-dependent receptor family	PF00593;
A5UQR3	A5UQR3_ROSS1	methylmalonyl-CoA mutase (EC 5.4.99.2)	cytoplasm [GO:0005737]; cobalamin binding [GO:0031419]; metal ion binding [GO:0046872]; methylmalonyl-CoA mutase activity [GO:0004494]; propionate metabolic process, methylmalonyl pathway [GO:0019678]		5.4.99.2	2.0	Methylmalonyl-CoA mutase family	PF01642;
F4BUS8	F4BUS8_METSG	Thermosome subunit gamma	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]			1.0	TCP-1 chaperonin family	PF00118;
K6T7B3	K6T7B3_9EURY	Transcriptional regulator GfcR	DNA binding [GO:0003677]; orotate phosphoribosyltransferase activity [GO:0004588]; pyrimidine nucleobase biosynthetic process [GO:0019856]; regulation of gene expression [GO:0010468]; UMP biosynthetic process [GO:0006222]			2.0	Purine/pyrimidine phosphoribosyltransferase family, GfcR subfamily	PF00156;
A0A1V4VET4	A0A1V4VET4_9EURY	Acetate--CoA ligase (EC 6.2.1.1)	acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; acetyl-CoA biosynthetic process from acetate [GO:0019427]		6.2.1.1	2.0	ATP-dependent AMP-binding enzyme family	PF16177;PF00501;PF13193;
F0RUI1	F0RUI1_SPHGB	Uncharacterized protein				1.0	UPF0065 (bug) family	PF03401;
A0LEV9	A0LEV9_SYNFM	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]	FUNCTION: Acts as a chaperone. {ECO:0000256|HAMAP-Rule:MF_00332}.		2.0	Heat shock protein 70 family	PF00012;
Q469S0	Q469S0_METBF	Secreted metalloprotease	metallopeptidase activity [GO:0008237]; proteolysis [GO:0006508]			1.0		
A4IMH3	A4IMH3_GEOTN	Stage V sporulation protein S	nucleic acid binding [GO:0003676]			1.0		PF04232;
A0A843K884	A0A843K884_9EURY	NAD-dependent malic enzyme	malic enzyme activity [GO:0004470]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]			1.0	Malic enzymes family	PF00390;PF03949;
E8WP00	E8WP00_GEOS8	Type II and III secretion system protein	type II protein secretion system complex [GO:0015627]; protein secretion [GO:0009306]			1.0	Bacterial secretin family	PF00263;
F4BWT8	F4BWT8_METSG	CBS domain protein	methionine biosynthetic process [GO:0009086]			1.0		PF00571;
E3T743	E3T743_9BACT	Cna B domain-containing protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]			1.0		PF00593;
D5EDT4	D5EDT4_AMICL	Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein folding chaperone [GO:0044183]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]	FUNCTION: Together with the chaperonin GroEL, plays an essential role in assisting protein folding. The GroEL-GroES system forms a nano-cage that allows encapsulation of the non-native substrate proteins and provides a physical environment optimized to promote and accelerate protein folding. GroES binds to the apical surface of the GroEL ring, thereby capping the opening of the GroEL channel. {ECO:0000256|HAMAP-Rule:MF_00580, ECO:0000256|RuleBase:RU000535}.		2.0	GroES chaperonin family	PF00166;
U6EF42	U6EF42_9EURY	CoB--CoM heterodisulfide reductase iron-sulfur subunit A (EC 1.8.-.-)	4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; oxidoreductase activity [GO:0016491]	FUNCTION: Part of a complex that catalyzes the reversible reduction of CoM-S-S-CoB to the thiol-coenzymes H-S-CoM (coenzyme M) and H-S-CoB (coenzyme B). {ECO:0000256|RuleBase:RU366072}.	1.8.-.-	2.0	HdrA family	PF12831;PF00037;PF13187;
E3H3Q9	E3H3Q9_ROTDC	Uncharacterized protein	membrane [GO:0016020]			1.0		
G7V8M3	G7V8M3_THELD	Glutathione hydrolase proenzyme (EC 2.3.2.2) (EC 3.4.19.13) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]	glutathione hydrolase activity [GO:0036374]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]		2.3.2.2; 3.4.19.13	3.0	Gamma-glutamyltransferase family	PF01019;
E3CWY1	E3CWY1_9BACT	Uncharacterized protein				1.0		
